zhen: 1 robot_money: 0 || boat_money: 0
zhen: 55 robot_money: 0 || boat_money: 0
zhen: 56 robot_money: 0 || boat_money: 0
zhen: 57 robot_money: 0 || boat_money: 0
zhen: 58 robot_money: 0 || boat_money: 0
zhen: 59 robot_money: 0 || boat_money: 0
zhen: 60 robot_money: 0 || boat_money: 0
zhen: 61 robot_money: 0 || boat_money: 0
zhen: 62 robot_money: 0 || boat_money: 0
zhen: 63 robot_money: 0 || boat_money: 0
zhen: 64 robot_money: 0 || boat_money: 0
zhen: 65 robot_money: 0 || boat_money: 0
zhen: 66 robot_money: 0 || boat_money: 0
zhen: 67 robot_money: 0 || boat_money: 0
zhen: 68 robot_money: 0 || boat_money: 0
zhen: 69 robot_money: 0 || boat_money: 0
zhen: 70 robot_money: 0 || boat_money: 0
zhen: 71 robot_money: 0 || boat_money: 0
zhen: 72 robot_money: 0 || boat_money: 0
zhen: 73 robot_money: 0 || boat_money: 0
zhen: 74 robot_money: 0 || boat_money: 0
zhen: 75 robot_money: 0 || boat_money: 0
zhen: 76 robot_money: 0 || boat_money: 0
zhen: 77 robot_money: 0 || boat_money: 0
zhen: 78 robot_money: 0 || boat_money: 0
zhen: 79 robot_money: 0 || boat_money: 0
zhen: 80 robot_money: 0 || boat_money: 0
zhen: 81 robot_money: 0 || boat_money: 0
zhen: 82 robot_money: 0 || boat_money: 0
zhen: 83 robot_money: 0 || boat_money: 0
zhen: 84 robot_money: 0 || boat_money: 0
zhen: 85 robot_money: 0 || boat_money: 0
zhen: 86 robot_money: 0 || boat_money: 0
zhen: 87 robot_money: 0 || boat_money: 0
zhen: 88 robot_money: 0 || boat_money: 0
zhen: 89 robot_money: 0 || boat_money: 0
zhen: 90 robot_money: 0 || boat_money: 0
zhen: 91 robot_money: 0 || boat_money: 0
zhen: 92 robot_money: 0 || boat_money: 0
zhen: 93 robot_money: 0 || boat_money: 0
zhen: 94 robot_money: 0 || boat_money: 0
zhen: 95 robot_money: 0 || boat_money: 0
zhen: 96 robot_money: 0 || boat_money: 0
zhen: 97 robot_money: 0 || boat_money: 0
zhen: 98 robot_money: 0 || boat_money: 0
zhen: 99 robot_money: 0 || boat_money: 0
zhen: 100 robot_money: 0 || boat_money: 0
zhen: 101 robot_money: 0 || boat_money: 0
zhen: 102 robot_money: 0 || boat_money: 0
zhen: 103 robot_money: 0 || boat_money: 0
zhen: 104 robot_money: 0 || boat_money: 0
zhen: 105 robot_money: 0 || boat_money: 0
zhen: 106 robot_money: 0 || boat_money: 0
zhen: 107 robot_money: 0 || boat_money: 0
zhen: 108 robot_money: 0 || boat_money: 0
zhen: 109 robot_money: 0 || boat_money: 0
zhen: 110 robot_money: 0 || boat_money: 0
zhen: 111 robot_money: 0 || boat_money: 0
zhen: 112 robot_money: 0 || boat_money: 0
zhen: 113 robot_money: 0 || boat_money: 0
zhen: 114 robot_money: 0 || boat_money: 0
zhen: 115 robot_money: 0 || boat_money: 0
zhen: 116 robot_money: 0 || boat_money: 0
zhen: 117 robot_money: 0 || boat_money: 0
zhen: 118 robot_money: 0 || boat_money: 0
zhen: 119 robot_money: 0 || boat_money: 0
zhen: 120 robot_money: 0 || boat_money: 0
zhen: 121 robot_money: 0 || boat_money: 0
zhen: 122 robot_money: 0 || boat_money: 0
zhen: 123 robot_money: 0 || boat_money: 0
zhen: 124 robot_money: 0 || boat_money: 0
zhen: 125 robot_money: 0 || boat_money: 0
zhen: 126 robot_money: 0 || boat_money: 0
zhen: 127 robot_money: 0 || boat_money: 0
zhen: 128 robot_money: 0 || boat_money: 0
zhen: 129 robot_money: 0 || boat_money: 0
zhen: 130 robot_money: 0 || boat_money: 0
zhen: 131 robot_money: 0 || boat_money: 0
zhen: 132 robot_money: 192 || boat_money: 0
zhen: 133 robot_money: 192 || boat_money: 0
zhen: 134 robot_money: 192 || boat_money: 0
zhen: 135 robot_money: 192 || boat_money: 0
zhen: 136 robot_money: 192 || boat_money: 0
zhen: 137 robot_money: 192 || boat_money: 0
zhen: 138 robot_money: 192 || boat_money: 0
zhen: 139 robot_money: 192 || boat_money: 0
zhen: 140 robot_money: 192 || boat_money: 0
zhen: 141 robot_money: 192 || boat_money: 0
zhen: 142 robot_money: 192 || boat_money: 0
zhen: 143 robot_money: 192 || boat_money: 0
zhen: 144 robot_money: 192 || boat_money: 0
zhen: 145 robot_money: 192 || boat_money: 0
zhen: 146 robot_money: 192 || boat_money: 0
zhen: 147 robot_money: 192 || boat_money: 0
zhen: 148 robot_money: 192 || boat_money: 0
zhen: 149 robot_money: 192 || boat_money: 0
zhen: 150 robot_money: 192 || boat_money: 0
zhen: 151 robot_money: 192 || boat_money: 0
zhen: 152 robot_money: 192 || boat_money: 0
zhen: 153 robot_money: 192 || boat_money: 0
zhen: 154 robot_money: 192 || boat_money: 0
zhen: 155 robot_money: 192 || boat_money: 0
zhen: 156 robot_money: 192 || boat_money: 0
zhen: 157 robot_money: 192 || boat_money: 0
zhen: 158 robot_money: 192 || boat_money: 0
zhen: 159 robot_money: 192 || boat_money: 0
zhen: 160 robot_money: 192 || boat_money: 0
zhen: 161 robot_money: 192 || boat_money: 0
zhen: 162 robot_money: 192 || boat_money: 0
zhen: 163 robot_money: 192 || boat_money: 0
zhen: 164 robot_money: 192 || boat_money: 0
zhen: 165 robot_money: 192 || boat_money: 0
zhen: 166 robot_money: 192 || boat_money: 0
zhen: 167 robot_money: 192 || boat_money: 0
zhen: 168 robot_money: 192 || boat_money: 0
zhen: 169 robot_money: 192 || boat_money: 0
zhen: 170 robot_money: 192 || boat_money: 0
zhen: 171 robot_money: 192 || boat_money: 0
zhen: 172 robot_money: 192 || boat_money: 0
zhen: 173 robot_money: 192 || boat_money: 0
zhen: 174 robot_money: 192 || boat_money: 0
zhen: 175 robot_money: 192 || boat_money: 0
zhen: 176 robot_money: 192 || boat_money: 0
zhen: 177 robot_money: 192 || boat_money: 0
zhen: 178 robot_money: 192 || boat_money: 0
zhen: 179 robot_money: 192 || boat_money: 0
zhen: 180 robot_money: 192 || boat_money: 0
zhen: 181 robot_money: 192 || boat_money: 0
zhen: 182 robot_money: 192 || boat_money: 0
zhen: 183 robot_money: 192 || boat_money: 0
zhen: 184 robot_money: 192 || boat_money: 0
zhen: 185 robot_money: 192 || boat_money: 0
zhen: 186 robot_money: 192 || boat_money: 0
zhen: 187 robot_money: 192 || boat_money: 0
zhen: 188 robot_money: 382 || boat_money: 0
zhen: 189 robot_money: 382 || boat_money: 0
zhen: 190 robot_money: 382 || boat_money: 0
zhen: 191 robot_money: 382 || boat_money: 0
zhen: 192 robot_money: 382 || boat_money: 0
zhen: 193 robot_money: 382 || boat_money: 0
zhen: 194 robot_money: 382 || boat_money: 0
zhen: 195 robot_money: 382 || boat_money: 0
zhen: 196 robot_money: 382 || boat_money: 0
zhen: 197 robot_money: 382 || boat_money: 0
zhen: 198 robot_money: 382 || boat_money: 0
zhen: 199 robot_money: 382 || boat_money: 0
zhen: 200 robot_money: 382 || boat_money: 0
zhen: 201 robot_money: 382 || boat_money: 0
zhen: 202 robot_money: 382 || boat_money: 0
zhen: 203 robot_money: 382 || boat_money: 0
zhen: 204 robot_money: 382 || boat_money: 0
zhen: 205 robot_money: 382 || boat_money: 0
zhen: 206 robot_money: 382 || boat_money: 0
zhen: 207 robot_money: 578 || boat_money: 0
zhen: 208 robot_money: 578 || boat_money: 0
zhen: 209 robot_money: 578 || boat_money: 0
zhen: 210 robot_money: 578 || boat_money: 0
zhen: 211 robot_money: 578 || boat_money: 0
zhen: 212 robot_money: 578 || boat_money: 0
zhen: 213 robot_money: 578 || boat_money: 0
zhen: 214 robot_money: 578 || boat_money: 0
zhen: 215 robot_money: 768 || boat_money: 0
zhen: 216 robot_money: 768 || boat_money: 0
zhen: 217 robot_money: 956 || boat_money: 0
zhen: 218 robot_money: 956 || boat_money: 0
zhen: 219 robot_money: 956 || boat_money: 0
zhen: 220 robot_money: 956 || boat_money: 0
zhen: 221 robot_money: 956 || boat_money: 0
zhen: 222 robot_money: 956 || boat_money: 0
zhen: 223 robot_money: 956 || boat_money: 0
zhen: 224 robot_money: 956 || boat_money: 0
zhen: 225 robot_money: 956 || boat_money: 0
zhen: 226 robot_money: 956 || boat_money: 0
zhen: 227 robot_money: 956 || boat_money: 0
zhen: 228 robot_money: 956 || boat_money: 0
zhen: 229 robot_money: 956 || boat_money: 0
zhen: 230 robot_money: 956 || boat_money: 0
zhen: 231 robot_money: 956 || boat_money: 0
zhen: 232 robot_money: 956 || boat_money: 0
zhen: 233 robot_money: 956 || boat_money: 0
zhen: 234 robot_money: 956 || boat_money: 0
zhen: 235 robot_money: 956 || boat_money: 0
zhen: 236 robot_money: 956 || boat_money: 0
zhen: 237 robot_money: 956 || boat_money: 0
zhen: 238 robot_money: 956 || boat_money: 0
zhen: 239 robot_money: 956 || boat_money: 0
zhen: 240 robot_money: 956 || boat_money: 0
zhen: 241 robot_money: 956 || boat_money: 0
zhen: 242 robot_money: 1153 || boat_money: 0
zhen: 243 robot_money: 1153 || boat_money: 0
zhen: 244 robot_money: 1342 || boat_money: 0
zhen: 245 robot_money: 1342 || boat_money: 0
zhen: 246 robot_money: 1342 || boat_money: 0
zhen: 247 robot_money: 1342 || boat_money: 0
zhen: 248 robot_money: 1342 || boat_money: 0
zhen: 249 robot_money: 1342 || boat_money: 0
zhen: 250 robot_money: 1342 || boat_money: 0
zhen: 251 robot_money: 1342 || boat_money: 0
zhen: 252 robot_money: 1342 || boat_money: 0
zhen: 253 robot_money: 1342 || boat_money: 0
zhen: 254 robot_money: 1342 || boat_money: 0
zhen: 255 robot_money: 1342 || boat_money: 0
zhen: 256 robot_money: 1342 || boat_money: 0
zhen: 257 robot_money: 1342 || boat_money: 0
zhen: 258 robot_money: 1342 || boat_money: 0
zhen: 259 robot_money: 1342 || boat_money: 0
zhen: 260 robot_money: 1342 || boat_money: 0
zhen: 261 robot_money: 1342 || boat_money: 0
zhen: 262 robot_money: 1542 || boat_money: 0
zhen: 263 robot_money: 1542 || boat_money: 0
zhen: 264 robot_money: 1542 || boat_money: 0
zhen: 265 robot_money: 1542 || boat_money: 0
zhen: 266 robot_money: 1542 || boat_money: 0
zhen: 267 robot_money: 1542 || boat_money: 0
zhen: 268 robot_money: 1542 || boat_money: 0
zhen: 269 robot_money: 1542 || boat_money: 0
zhen: 270 robot_money: 1542 || boat_money: 0
zhen: 271 robot_money: 1542 || boat_money: 0
zhen: 272 robot_money: 1542 || boat_money: 0
zhen: 273 robot_money: 1542 || boat_money: 0
zhen: 274 robot_money: 1542 || boat_money: 0
zhen: 275 robot_money: 1542 || boat_money: 0
zhen: 276 robot_money: 1542 || boat_money: 0
zhen: 277 robot_money: 1542 || boat_money: 0
zhen: 278 robot_money: 1542 || boat_money: 0
zhen: 279 robot_money: 1542 || boat_money: 0
zhen: 280 robot_money: 1542 || boat_money: 0
zhen: 281 robot_money: 1542 || boat_money: 0
zhen: 282 robot_money: 1542 || boat_money: 0
zhen: 283 robot_money: 1542 || boat_money: 0
zhen: 284 robot_money: 1542 || boat_money: 0
zhen: 285 robot_money: 1542 || boat_money: 0
zhen: 286 robot_money: 1542 || boat_money: 0
zhen: 287 robot_money: 1542 || boat_money: 0
zhen: 288 robot_money: 1542 || boat_money: 0
zhen: 289 robot_money: 1542 || boat_money: 0
zhen: 290 robot_money: 1542 || boat_money: 0
zhen: 291 robot_money: 1542 || boat_money: 0
zhen: 292 robot_money: 1542 || boat_money: 0
zhen: 293 robot_money: 1542 || boat_money: 0
zhen: 294 robot_money: 1542 || boat_money: 0
zhen: 295 robot_money: 1542 || boat_money: 0
zhen: 296 robot_money: 1542 || boat_money: 0
zhen: 297 robot_money: 1542 || boat_money: 0
zhen: 298 robot_money: 1736 || boat_money: 0
zhen: 299 robot_money: 1736 || boat_money: 0
zhen: 300 robot_money: 1736 || boat_money: 0
zhen: 301 robot_money: 1736 || boat_money: 0
zhen: 302 robot_money: 1736 || boat_money: 0
zhen: 303 robot_money: 1919 || boat_money: 0
zhen: 304 robot_money: 1919 || boat_money: 0
zhen: 305 robot_money: 1919 || boat_money: 0
zhen: 306 robot_money: 1919 || boat_money: 0
zhen: 307 robot_money: 1919 || boat_money: 0
zhen: 308 robot_money: 1919 || boat_money: 0
zhen: 309 robot_money: 1919 || boat_money: 0
zhen: 310 robot_money: 1919 || boat_money: 0
zhen: 311 robot_money: 1919 || boat_money: 0
zhen: 312 robot_money: 1919 || boat_money: 0
zhen: 313 robot_money: 1919 || boat_money: 0
zhen: 314 robot_money: 1919 || boat_money: 0
zhen: 315 robot_money: 1919 || boat_money: 0
zhen: 316 robot_money: 2104 || boat_money: 0
zhen: 317 robot_money: 2104 || boat_money: 0
zhen: 318 robot_money: 2104 || boat_money: 0
zhen: 319 robot_money: 2286 || boat_money: 0
zhen: 320 robot_money: 2286 || boat_money: 0
zhen: 321 robot_money: 2286 || boat_money: 0
zhen: 322 robot_money: 2286 || boat_money: 0
zhen: 323 robot_money: 2286 || boat_money: 0
zhen: 324 robot_money: 2286 || boat_money: 0
zhen: 325 robot_money: 2485 || boat_money: 0
zhen: 326 robot_money: 2485 || boat_money: 0
zhen: 327 robot_money: 2485 || boat_money: 0
zhen: 328 robot_money: 2485 || boat_money: 0
zhen: 329 robot_money: 2485 || boat_money: 0
zhen: 330 robot_money: 2485 || boat_money: 0
zhen: 331 robot_money: 2485 || boat_money: 0
zhen: 332 robot_money: 2485 || boat_money: 0
zhen: 333 robot_money: 2485 || boat_money: 0
zhen: 334 robot_money: 2485 || boat_money: 0
zhen: 335 robot_money: 2485 || boat_money: 0
zhen: 336 robot_money: 2485 || boat_money: 0
zhen: 337 robot_money: 2485 || boat_money: 0
zhen: 338 robot_money: 2485 || boat_money: 0
zhen: 339 robot_money: 2485 || boat_money: 0
zhen: 340 robot_money: 2485 || boat_money: 0
zhen: 341 robot_money: 2485 || boat_money: 0
zhen: 342 robot_money: 2485 || boat_money: 0
zhen: 343 robot_money: 2485 || boat_money: 0
zhen: 344 robot_money: 2485 || boat_money: 0
zhen: 345 robot_money: 2485 || boat_money: 0
zhen: 346 robot_money: 2485 || boat_money: 0
zhen: 347 robot_money: 2485 || boat_money: 0
zhen: 348 robot_money: 2485 || boat_money: 0
zhen: 349 robot_money: 2485 || boat_money: 0
zhen: 350 robot_money: 2485 || boat_money: 0
zhen: 351 robot_money: 2485 || boat_money: 0
zhen: 352 robot_money: 2485 || boat_money: 0
zhen: 353 robot_money: 2485 || boat_money: 0
zhen: 354 robot_money: 2485 || boat_money: 0
zhen: 355 robot_money: 2485 || boat_money: 0
zhen: 356 robot_money: 2485 || boat_money: 0
zhen: 357 robot_money: 2485 || boat_money: 0
zhen: 358 robot_money: 2485 || boat_money: 0
zhen: 359 robot_money: 2485 || boat_money: 0
zhen: 360 robot_money: 2485 || boat_money: 0
zhen: 361 robot_money: 2485 || boat_money: 0
zhen: 362 robot_money: 2863 || boat_money: 0
zhen: 363 robot_money: 2863 || boat_money: 0
zhen: 364 robot_money: 2863 || boat_money: 0
zhen: 365 robot_money: 2863 || boat_money: 0
zhen: 366 robot_money: 2863 || boat_money: 0
zhen: 367 robot_money: 2863 || boat_money: 0
zhen: 368 robot_money: 2863 || boat_money: 0
zhen: 369 robot_money: 2863 || boat_money: 0
zhen: 370 robot_money: 2863 || boat_money: 0
zhen: 371 robot_money: 2863 || boat_money: 0
zhen: 372 robot_money: 2863 || boat_money: 0
zhen: 373 robot_money: 2863 || boat_money: 0
zhen: 374 robot_money: 2863 || boat_money: 0
zhen: 375 robot_money: 3043 || boat_money: 0
zhen: 376 robot_money: 3043 || boat_money: 0
zhen: 377 robot_money: 3043 || boat_money: 0
zhen: 378 robot_money: 3043 || boat_money: 0
zhen: 379 robot_money: 3043 || boat_money: 0
zhen: 380 robot_money: 3043 || boat_money: 0
zhen: 381 robot_money: 3225 || boat_money: 0
zhen: 382 robot_money: 3225 || boat_money: 0
zhen: 383 robot_money: 3225 || boat_money: 0
zhen: 384 robot_money: 3225 || boat_money: 0
zhen: 385 robot_money: 3225 || boat_money: 0
zhen: 386 robot_money: 3225 || boat_money: 0
zhen: 387 robot_money: 3225 || boat_money: 0
zhen: 388 robot_money: 3225 || boat_money: 0
zhen: 389 robot_money: 3225 || boat_money: 0
zhen: 390 robot_money: 3225 || boat_money: 0
zhen: 391 robot_money: 3225 || boat_money: 0
zhen: 392 robot_money: 3225 || boat_money: 0
zhen: 393 robot_money: 3225 || boat_money: 0
zhen: 394 robot_money: 3225 || boat_money: 0
zhen: 395 robot_money: 3225 || boat_money: 0
zhen: 396 robot_money: 3225 || boat_money: 0
zhen: 397 robot_money: 3225 || boat_money: 0
zhen: 398 robot_money: 3225 || boat_money: 0
zhen: 399 robot_money: 3225 || boat_money: 0
zhen: 400 robot_money: 3225 || boat_money: 0
zhen: 401 robot_money: 3225 || boat_money: 0
zhen: 402 robot_money: 3420 || boat_money: 0
zhen: 403 robot_money: 3420 || boat_money: 0
zhen: 404 robot_money: 3420 || boat_money: 0
zhen: 405 robot_money: 3420 || boat_money: 0
zhen: 406 robot_money: 3420 || boat_money: 0
zhen: 407 robot_money: 3420 || boat_money: 0
zhen: 408 robot_money: 3420 || boat_money: 0
zhen: 409 robot_money: 3420 || boat_money: 0
zhen: 410 robot_money: 3420 || boat_money: 0
zhen: 411 robot_money: 3420 || boat_money: 0
zhen: 412 robot_money: 3420 || boat_money: 0
zhen: 413 robot_money: 3420 || boat_money: 0
zhen: 414 robot_money: 3420 || boat_money: 0
zhen: 415 robot_money: 3420 || boat_money: 0
zhen: 416 robot_money: 3420 || boat_money: 0
zhen: 417 robot_money: 3420 || boat_money: 0
zhen: 418 robot_money: 3420 || boat_money: 0
zhen: 419 robot_money: 3420 || boat_money: 0
zhen: 420 robot_money: 3420 || boat_money: 0
zhen: 421 robot_money: 3420 || boat_money: 0
zhen: 422 robot_money: 3420 || boat_money: 0
zhen: 423 robot_money: 3420 || boat_money: 0
zhen: 424 robot_money: 3420 || boat_money: 0
zhen: 425 robot_money: 3420 || boat_money: 0
zhen: 426 robot_money: 3420 || boat_money: 0
zhen: 427 robot_money: 3420 || boat_money: 0
zhen: 428 robot_money: 3420 || boat_money: 0
zhen: 429 robot_money: 3420 || boat_money: 0
zhen: 430 robot_money: 3420 || boat_money: 0
zhen: 431 robot_money: 3420 || boat_money: 0
zhen: 432 robot_money: 3617 || boat_money: 0
zhen: 433 robot_money: 3617 || boat_money: 0
zhen: 434 robot_money: 3617 || boat_money: 0
zhen: 435 robot_money: 3617 || boat_money: 0
zhen: 436 robot_money: 3617 || boat_money: 0
zhen: 437 robot_money: 3617 || boat_money: 0
zhen: 438 robot_money: 3617 || boat_money: 0
zhen: 439 robot_money: 3617 || boat_money: 0
zhen: 440 robot_money: 3617 || boat_money: 0
zhen: 441 robot_money: 3617 || boat_money: 0
zhen: 442 robot_money: 3617 || boat_money: 0
zhen: 443 robot_money: 3617 || boat_money: 0
zhen: 444 robot_money: 3617 || boat_money: 0
zhen: 445 robot_money: 3617 || boat_money: 0
zhen: 446 robot_money: 3617 || boat_money: 0
zhen: 447 robot_money: 3617 || boat_money: 0
zhen: 448 robot_money: 3617 || boat_money: 0
zhen: 449 robot_money: 3809 || boat_money: 0
zhen: 450 robot_money: 3809 || boat_money: 0
zhen: 451 robot_money: 3809 || boat_money: 0
zhen: 452 robot_money: 3809 || boat_money: 0
zhen: 453 robot_money: 3809 || boat_money: 0
zhen: 454 robot_money: 3809 || boat_money: 0
zhen: 455 robot_money: 3809 || boat_money: 0
zhen: 456 robot_money: 3809 || boat_money: 0
zhen: 457 robot_money: 3809 || boat_money: 0
zhen: 458 robot_money: 3809 || boat_money: 0
zhen: 459 robot_money: 3809 || boat_money: 0
zhen: 460 robot_money: 3809 || boat_money: 0
zhen: 461 robot_money: 3809 || boat_money: 0
zhen: 462 robot_money: 3809 || boat_money: 0
zhen: 463 robot_money: 3809 || boat_money: 0
zhen: 464 robot_money: 3809 || boat_money: 0
zhen: 465 robot_money: 3809 || boat_money: 0
zhen: 466 robot_money: 3990 || boat_money: 0
zhen: 467 robot_money: 3990 || boat_money: 0
zhen: 468 robot_money: 3990 || boat_money: 0
zhen: 469 robot_money: 3990 || boat_money: 0
zhen: 470 robot_money: 3990 || boat_money: 0
zhen: 471 robot_money: 3990 || boat_money: 0
zhen: 472 robot_money: 3990 || boat_money: 0
zhen: 473 robot_money: 3990 || boat_money: 0
zhen: 474 robot_money: 3990 || boat_money: 0
zhen: 475 robot_money: 3990 || boat_money: 0
zhen: 476 robot_money: 3990 || boat_money: 0
zhen: 477 robot_money: 4179 || boat_money: 0
zhen: 478 robot_money: 4179 || boat_money: 0
zhen: 479 robot_money: 4179 || boat_money: 0
zhen: 480 robot_money: 4179 || boat_money: 0
zhen: 481 robot_money: 4179 || boat_money: 0
zhen: 482 robot_money: 4179 || boat_money: 0
zhen: 483 robot_money: 4179 || boat_money: 0
zhen: 484 robot_money: 4179 || boat_money: 0
zhen: 485 robot_money: 4179 || boat_money: 0
zhen: 486 robot_money: 4179 || boat_money: 0
zhen: 487 robot_money: 4179 || boat_money: 0
zhen: 488 robot_money: 4179 || boat_money: 0
zhen: 489 robot_money: 4179 || boat_money: 0
zhen: 490 robot_money: 4179 || boat_money: 0
zhen: 491 robot_money: 4179 || boat_money: 0
zhen: 492 robot_money: 4376 || boat_money: 0
zhen: 493 robot_money: 4738 || boat_money: 0
zhen: 494 robot_money: 4738 || boat_money: 0
zhen: 495 robot_money: 4738 || boat_money: 0
zhen: 496 robot_money: 4738 || boat_money: 0
zhen: 497 robot_money: 4738 || boat_money: 0
zhen: 498 robot_money: 4738 || boat_money: 0
zhen: 499 robot_money: 4738 || boat_money: 0
zhen: 500 robot_money: 4738 || boat_money: 0
zhen: 501 robot_money: 4738 || boat_money: 0
zhen: 502 robot_money: 4738 || boat_money: 0
zhen: 503 robot_money: 4738 || boat_money: 0
zhen: 504 robot_money: 4934 || boat_money: 0
zhen: 505 robot_money: 4934 || boat_money: 0
zhen: 506 robot_money: 4934 || boat_money: 0
zhen: 507 robot_money: 4934 || boat_money: 0
zhen: 508 robot_money: 4934 || boat_money: 0
zhen: 509 robot_money: 4934 || boat_money: 0
zhen: 510 robot_money: 4934 || boat_money: 0
zhen: 511 robot_money: 4934 || boat_money: 0
zhen: 512 robot_money: 4934 || boat_money: 0
zhen: 513 robot_money: 4934 || boat_money: 0
zhen: 514 robot_money: 4934 || boat_money: 0
zhen: 515 robot_money: 4934 || boat_money: 0
zhen: 516 robot_money: 4934 || boat_money: 0
zhen: 517 robot_money: 4934 || boat_money: 0
zhen: 518 robot_money: 5118 || boat_money: 0
zhen: 519 robot_money: 5118 || boat_money: 0
zhen: 520 robot_money: 5118 || boat_money: 0
zhen: 521 robot_money: 5118 || boat_money: 0
zhen: 522 robot_money: 5118 || boat_money: 0
zhen: 523 robot_money: 5299 || boat_money: 0
zhen: 524 robot_money: 5299 || boat_money: 0
zhen: 525 robot_money: 5299 || boat_money: 0
zhen: 526 robot_money: 5299 || boat_money: 0
zhen: 527 robot_money: 5299 || boat_money: 0
zhen: 528 robot_money: 5299 || boat_money: 0
zhen: 529 robot_money: 5299 || boat_money: 0
zhen: 530 robot_money: 5299 || boat_money: 0
zhen: 531 robot_money: 5299 || boat_money: 0
zhen: 532 robot_money: 5299 || boat_money: 0
zhen: 533 robot_money: 5299 || boat_money: 0
zhen: 534 robot_money: 5299 || boat_money: 0
zhen: 535 robot_money: 5299 || boat_money: 0
zhen: 536 robot_money: 5299 || boat_money: 0
zhen: 537 robot_money: 5299 || boat_money: 0
zhen: 538 robot_money: 5299 || boat_money: 0
zhen: 539 robot_money: 5299 || boat_money: 0
zhen: 540 robot_money: 5299 || boat_money: 0
zhen: 541 robot_money: 5299 || boat_money: 0
zhen: 542 robot_money: 5299 || boat_money: 0
zhen: 543 robot_money: 5299 || boat_money: 0
zhen: 544 robot_money: 5299 || boat_money: 0
zhen: 545 robot_money: 5299 || boat_money: 0
zhen: 546 robot_money: 5299 || boat_money: 0
zhen: 547 robot_money: 5299 || boat_money: 0
zhen: 548 robot_money: 5299 || boat_money: 0
zhen: 549 robot_money: 5485 || boat_money: 0
zhen: 550 robot_money: 5485 || boat_money: 0
zhen: 551 robot_money: 5679 || boat_money: 0
zhen: 552 robot_money: 5679 || boat_money: 0
zhen: 553 robot_money: 5679 || boat_money: 0
zhen: 554 robot_money: 5679 || boat_money: 0
zhen: 555 robot_money: 5679 || boat_money: 0
zhen: 556 robot_money: 5679 || boat_money: 0
zhen: 557 robot_money: 5679 || boat_money: 0
zhen: 558 robot_money: 5679 || boat_money: 0
zhen: 559 robot_money: 5679 || boat_money: 0
zhen: 560 robot_money: 5865 || boat_money: 0
zhen: 561 robot_money: 5865 || boat_money: 0
zhen: 562 robot_money: 5865 || boat_money: 0
zhen: 563 robot_money: 5865 || boat_money: 0
zhen: 564 robot_money: 5865 || boat_money: 0
zhen: 565 robot_money: 5865 || boat_money: 0
zhen: 566 robot_money: 5865 || boat_money: 0
zhen: 567 robot_money: 5865 || boat_money: 0
zhen: 568 robot_money: 5865 || boat_money: 0
